Year, Period, start, end, Location,On_Time_T(%),Booked_T,On_Time_A(%),PPM(%) 
1617, 08, 16-Oct, 12-Nov, Invergordon,63.8,1,43.0,75.3 
1617, 08, 16-Oct, 12-Nov, Inverness,55.0,36,55.6,78.1 
1617, 08, 16-Oct, 12-Nov, Inverurie,72.8,11,55.2,86.8 
1617, 08, 16-Oct, 12-Nov, Irvine,48.4,1,63.6,96.1 
1617, 08, 16-Oct, 12-Nov, Kilmarnock,72.8,27,67.0,89.5 
1617, 08, 16-Oct, 12-Nov, Kirkcaldy,66.0,3,57.7,87.9 
1617, 08, 16-Oct, 12-Nov, Kyle of Lochalsh,48.6,4,48.6,82.6 
1617, 08, 16-Oct, 12-Nov, Lanark,47.2,37,47.2,88.7 
1617, 08, 16-Oct, 12-Nov, Largs,36.7,19,36.7,88.9 
1617, 08, 16-Oct, 12-Nov, Larkhall,46.6,35,46.6,90.3 
1617, 08, 16-Oct, 12-Nov, Lenzie,42.8,1,72.2,93.9 
1617, 08, 16-Oct, 12-Nov, Mallaig,80.4,4,80.4,87.5 
1617, 08, 16-Oct, 12-Nov, Markinch,38.7,1,45.5,68.5 
1617, 08, 16-Oct, 12-Nov, Milngavie,26.2,63,26.2,77.3 
1617, 08, 16-Oct, 12-Nov, Motherwell,49.6,42,47.8,88.8 
1617, 08, 16-Oct, 12-Nov, Neilston,63.9,40,63.6,97.0 
1617, 08, 16-Oct, 12-Nov, Newton,44.9,38,55.8,93.3 
1617, 08, 16-Oct, 12-Nov, North Berwick,83.6,19,83.6,94.8 
1617, 08, 16-Oct, 12-Nov, Oban,66.2,7,66.2,81.6 
1617, 08, 16-Oct, 12-Nov, Paisley Canal,38.7,35,38.7,97.1 
1617, 08, 16-Oct, 12-Nov, Partick,68.5,3,40.3,88.5 
1617, 08, 16-Oct, 12-Nov, Perth,77.7,15,68.3,89.1 
1617, 08, 16-Oct, 12-Nov, Queen Street,55.9,184,55.8,90.0 
1617, 08, 16-Oct, 12-Nov, Springburn,31.1,1,55.0,90.9 
1617, 08, 16-Oct, 12-Nov, Stirling,77.3,11,62.3,90.7 
1617, 08, 16-Oct, 12-Nov, Stonehaven,56.3,3,57.0,85.8 
1617, 08, 16-Oct, 12-Nov, Stranraer,79.1,8,79.1,92.0 
1617, 08, 16-Oct, 12-Nov, Tain,42.5,1,38.3,72.6 
1617, 08, 16-Oct, 12-Nov, Tweedbank,43.4,33,43.4,85.2 
1617, 08, 16-Oct, 12-Nov, Wemyss Bay,57.9,19,57.9,95.3 
1617, 08, 16-Oct, 12-Nov, Whifflet,61.5,16,46.8,89.3 
1617, 08, 16-Oct, 12-Nov, Wick,25.2,4,25.2,53.8 
