Performance Update 13-Nov to 10-Dec,,,,,,,,,,,,
83.7% 89.8%,,,,,,,,,,,,
Moving Annual Average PPM (Target - 91.1%),,,,,,,,,,,,
How we performed in YOUR area,,,,,,,,,,,,
,,,,"Express (other than
E&G) sector",,,"Edinburgh - Glasgow
Q St",Rural sector,East suburban sector,,"West suburban Peak
sector","West suburban Off
Peak sector"
Barrhead,,,71.5%,25,54.7%,92.5%,Kyle of Lochalsh,48.8%,4,48.8%,82.7%,
Bathgate,,,51.6%,7,47.8%,87.9%,Lanark,47.5%,38,47.5%,88.8%,
Cardenden,,,76.2%,1,59.4%,88.3%,Largs,36.9%,19,36.9%,89.7%,
Carlisle,,,50.5%,13,55.2%,85.0%,Larkhall,46.9%,36,46.9%,90.8%,
Carnoustie,,,26.8%,1,39.4%,83.9%,Lenzie,39.2%,1,72.6%,93.9%,
Carstairs,,,52.6%,4,63.5%,89.3%,Mallaig,80.9%,4,80.9%,87.4%,
Cowdenbeath,,,84.8%,9,58.4%,88.9%,Markinch,40.7%,1,45.5%,68.4%,
Crianlarich,,,61.4%,2,59.6%,78.1%,Milngavie,26.1%,64,26.1%,76.7%,
Cumbernauld,,,42.5%,54,46.1%,87.6%,Motherwell,49.6%,43,48.0%,88.9%,
Dalmally,,,92.4%,1,92.4%,96.0%,Neilston,63.3%,40,63.0%,96.8%,
Dalmuir,,,28.2%,73,47.6%,86.8%,Newton,44.4%,39,56.1%,93.4%,
Dingwall,,,53.5%,1,52.4%,80.9%,North Berwick,83.3%,19,83.3%,95.0%,
Dumbarton Central,,,58.4%,36,54.7%,88.1%,Oban,66.2%,7,66.2%,81.5%,
Dumfries,,,77.4%,4,62.3%,87.3%,Partick,67.6%,1,40.0%,88.1%,
Dunbar,,,85.0%,5,85.0%,95.6%,Paisley Canal,38.7%,35,38.7%,97.2%,
Dunblane,,,80.8%,41,70.5%,90.3%,Perth,77.4%,15,68.1%,89.1%,
Dundee,,,64.2%,23,61.1%,87.3%,Springburn,31.5%,1,55.7%,90.8%,
Dyce,,,78.8%,2,52.9%,87.9%,Stirling,78.2%,11,63.0%,90.8%,
Edinburgh,,,53.3%,337,53.2%,86.5%,Stonehaven,56.6%,3,56.2%,85.6%,
East Kilbride,,,53.8%,38,53.8%,92.3%,Stranraer,80.1%,8,80.1%,91.8%,
Elgin,,,43.9%,1,47.3%,86.0%,Tain,43.1%,2,38.8%,73.1%,
Falkirk Grahamston,,,57.9%,20,69.6%,91.1%,Tweedbank,43.1%,33,43.1%,85.3%,
Fort William,,,91.3%,1,80.5%,89.8%,Wemyss Bay,57.9%,19,57.9%,95.6%,
Garscadden,,,55.2%,5,58.8%,90.1%,Whifflet,61.7%,16,47.0%,89.6%,
Girvan,,,54.2%,11,35.7%,91.6%,Wick,27.1%,4,27.1%,56.0%,
Glasgow Central,,,54.1%,484,54.1%,92.8%,,,,,,
On Time_T,-,The,percentage of ScotRail services that terminate at this location On Time *,,,,,,,,,
Booked_T,-,The,number of ScotRail services planned to terminate at this location on a typical weekday,,,,,,,,,
On Time_A,-,The,percentage of ScotRail services that arrive at this location On Time* (all trains that stop at this station),,,,,,,,,
PPM,-,The,percentage of ScotRail services that arrive or terminate at this location within 5 minutes of their booked arrival time,,,,,,,,,
"*On time is the percentage of booked services which arrive within 59 seconds of their booked arrival time, having called at all booked stations on the route",,,,,,,,,,,,
