Performance Update 11-Dec to 07-Jan,,,,,,,,,,,
89.7% 90.0%,,,,,,,,,,,
Moving Annual Average PPM (Target - 91.1%),,,,,,,,,,,
How we performed in YOUR area,,,,,,,,,,,
,,,"Express (other than
E&G) sector",,,"Edinburgh - Glasgow
Q St",Rural sector,East suburban sector,,"West suburban Peak
sector","West suburban Off
Peak sector"
Carstairs,,52.7%,4,64.0%,89.8%,Mallaig,81.1%,4,81.1%,87.6%,
Cowdenbeath,,85.1%,9,59.0%,89.4%,Markinch,41.1%,1,45.3%,68.6%,
Crianlarich,,62.8%,2,60.9%,79.5%,Milngavie,26.2%,64,26.2%,76.7%,
Cumbernauld,,43.2%,54,46.4%,87.9%,Motherwell,49.7%,43,48.0%,89.1%,
Dalmally,,91.6%,1,91.6%,95.2%,Neilston,63.3%,40,62.9%,96.8%,
Dalmuir,,28.0%,73,47.4%,86.8%,Newton,43.7%,39,56.3%,93.3%,
Dingwall,,54.1%,1,52.5%,80.8%,North Berwick,83.6%,19,83.6%,95.3%,
Dumbarton Central,,58.5%,36,54.2%,88.1%,Oban,67.9%,7,67.9%,82.6%,
Dumfries,,79.7%,4,63.9%,88.8%,Partick,66.5%,1,40.5%,88.2%,
Dunbar,,85.9%,5,85.9%,95.9%,Paisley Canal,38.9%,35,38.9%,97.3%,
Dunblane,,80.9%,41,70.8%,90.4%,Perth,77.8%,15,68.2%,89.3%,
Dundee,,64.4%,23,61.4%,87.7%,Springburn,32.6%,1,56.2%,90.7%,
Dyce,,78.8%,2,52.5%,88.1%,Stirling,78.4%,11,63.7%,90.9%,
Edinburgh,,52.4%,337,52.4%,86.5%,Stonehaven,55.7%,3,55.9%,85.8%,
East Kilbride,,53.4%,38,53.4%,92.4%,Stranraer,80.6%,8,80.6%,92.3%,
Elgin,,43.3%,1,46.9%,86.3%,Tain,41.4%,2,38.8%,73.2%,
Falkirk Grahamston,,57.6%,20,69.2%,91.0%,Tweedbank,43.2%,33,43.2%,85.5%,
Fort William,,92.2%,1,81.1%,90.4%,Wemyss Bay,57.5%,19,57.5%,95.6%,
Garscadden,,53.1%,5,60.2%,90.4%,Whifflet,62.4%,16,47.6%,89.7%,
Girvan,,56.8%,11,36.7%,92.4%,Wick,28.6%,4,28.6%,57.5%,
Glasgow Central,,53.8%,484,53.7%,93.0%,,,,,,
On Time_T,-,The,percentage of ScotRail services that terminate at this location On Time *,,,,,,,,
Booked_T,-,The,number of ScotRail services planned to terminate at this location on a typical weekday,,,,,,,,
On Time_A,-,The,percentage of ScotRail services that arrive at this location On Time* (all trains that stop at this station),,,,,,,,
PPM,-,The,percentage of ScotRail services that arrive or terminate at this location within 5 minutes of their booked arrival time,,,,,,,,
"*On time is the percentage of booked services which arrive within 59 seconds of their booked arrival time, having called at all booked stations on the route",,,,,,,,,,,
